"Id";"Word";"Pronunciation";"Definition";"PartOfSpeech"
1857;"stratification";"stra-tih-fih-kay-shin";"the arrangement or classification of something into different groups";"n"
1858;"blip";"blip";"a trace on a display screen; a short high-pitched sound made by an electronic device; an unexpected, minor, and typically temporary deviation from a general trend";"n"
1859;"per se";"per-say";"by or in itself or themselves; intrinsically";"adv"
1860;"parietal";"puh-ry-ih-tul";"of, relating to, attached to, or denoting the wall of the body or of a body cavity or hollow structure; relating to residence in a college or university dormitory and especially to visits from members of the opposite sex";"adj"
1861;"spate";"spayt";"a large number of similar things or events appearing or occurring in quick succession; flood";"n"
1862;"internecine";"in-ter-neh-seen";"destructive to both sides in a conflict; of, relating to, or involving conflict within a group";"adj"
1863;"quahog";"ko-hog";"a thick-shelled edible clam of the U.S.";"n"
1864;"fief";"feef";"a feudal estate; something over which one has rights or exercises control";"n"
1865;"riven";"rih-vin";"split apart; divided into pieces or factions";"adj"
1866;"brusque";"brusk";"markedly short and abrupt; blunt in manner or speech often to the point of ungracious harshness";"adj"
1867;"undergird";"un-der-gerd";"to form the basis or foundation of; strengthen, support";"v"
1868;"pejorative";"pih-jor-ih-tiv";"expressing contempt or disapproval";"adj"
1869;"miff";"miff";"a fit of ill humor; a trivial quarrel";"n"
1870;"peerless";"peer-liss";"unequaled, unrivaled; matchless, incomparable";"adj"
1871;"leal";"leel";"loyal, true, honest";"adj"
1872;"solace";"sah-liss";"comfort or consolation in a time of distress or sadness";"n"
1873;"seminary";"seh-mih-nair-ee";"an environment in which something originates and from which it is propagated; a college that prepares students to be priests, ministers, or rabbis";"n"
1874;"quiescent";"kwee-eh-sint";"in a state or period of inactivity or dormancy; causing no trouble or symptoms";"adj"
1875;"jubilant";"joo-buh-lint";"feeling or expressing great happiness and triumph";"adj"
1876;"exultant";"ig-zul-tint";"triumphantly happy";"adj"
1877;"dingy";"din-jee";"gloomy and drab; dirty, unclean";"adj"
1878;"drab";"drab";"lacking brightness or interest; drearily dull";"adj"
1879;"slattern";"slah-turn";"a dirty, untidy woman";"n"
1880;"wunderkind";"vun-der-kint";"a child prodigy; a person who achieves great success when relatively young";"n"
1881;"throes";"throws";"intense or violent pain and struggle, especially accompanying birth, death, or great change";"n"
1882;"credo";"kree-doe";"a statement of the beliefs or aims which guide someone's actions";"n"
1883;"creed";"kreed";"a brief authoritative formula of religious belief; a set of fundamental beliefs; a guiding principle";"n"
1884;"tic";"tik";"a habitual spasmodic contraction of the muscles, most often in the face; an idiosyncratic and habitual feature of a person's behavior";"n"
1885;"prune";"proon";"to reduce especially by eliminating superfluous matter; to cut away what is unwanted or superfluous";"v"
1886;"mire";"my-er";"a troublesome or intractable situation; heavy often deep mud or slush";"n"
1887;"autoclave";"aw-toe-klave";"a strong heated container used for chemical reactions and other processes using high pressures and temperatures";"n"
1888;"semantics";"sih-man-tiks";"the meaning of a word, phrase, sentence, or text";"n"
1889;"foray";"for-ay";"an initial and often tentative attempt to do something in a new or different field or area of activity; a sudden or irregular invasion or attack for war or spoils";"n"
1890;"fuse";"fyooze";"a safety device consisting of a strip of wire that melts and breaks an electric circuit if the current exceeds a safe level";"n"
1891;"indignant";"in-dig-nint";"feeling or showing anger or annoyance at what is perceived as unfair treatment";"adj"
1892;"cosmology";"kahz-mah-luh-jee";"the science of the origin and development of the universe";"n"
1893;"minutia";"mih-nu-shee-uh";"a minute or minor detail";"n"
1894;"misandry";"mis-an-dree";"a hatred of men";"n"
1895;"cortege";"kor-tej";"a train of attendants, retinue; a procession, usually for a funeral";"n"
1896;"panspermia";"pan-sper-mee-uh";"the theory that life on the earth originated from microorganisms or chemical precursors of life present in outer space and able to initiate life on reaching a suitable environment";"n"
1897;"insular";"in-syuh-ler";"ignorant of or uninterested in cultures, ideas, or peoples outside one's own experience; relating to or from an island";"adj"
1898;"reconnaissance";"rih-kah-nih-sints";"a preliminary survey to gain information; an exploratory military survey of enemy territory";"Part of Speech"
1899;"benighted";"bih-ny-tid";"overtaken by darkness or night; existing in a state of intellectual, moral, or social darkness; unenlightened";"adj"
1900;"posthumous";"pahs-chuh-mus";"following or occurring after death; published after the death of the author; born after the death of the father";"Part of Speech"
1901;"modicum";"mah-dih-kum";"a small portion; a limited quantity";"n"
1902;"despot";"des-pot";"a ruler or other person who holds absolute power, typically one who exercises it in a cruel or oppressive way";"n"
1903;"hyperbolic";"hy-per-bah-lik";"of, relating to, or marked by language that exaggerates or overstates the truth; of, relating to, or marked by hyperbole";"adj"
1904;"conglomerate";"kun-glah-muh-rit";"made up of parts from various sources or of various kinds";"adj"
1905;"laureate";"lor-ee-it";"the recipient of honor or recognition for achievement in an art or science";"n"
1906;"cochlea";"ko-klee-uh";"a hollow tube in the inner ear of higher vertebrates that is usually coiled like a snail shell and contains the sensory organ of hearing";"n"
1907;"catamount";"ka-tuh-mount";"a medium-sized or large wild cat, especially a cougar";"n"
1908;"opusculum";"oh-puh-skyoo-lum";"a small or minor literary or musical work";"n"
1909;"paraphilia";"pair-uh-feel-ee-uh";"a condition characterized by abnormal sexual desires, typically involving extreme or dangerous activities";"n"
1910;"metrosexual";"meh-troe-sek-shoo-ul";"a young, urban, heterosexual male with liberal political views, an interest in fashion, and a refined sense of taste";"n"
1911;"McGuffin";"muh-guh-fin";"an object or device in a movie or a book that serves merely as a trigger for the plot";"n"
1912;"antediluvian";"ann-tih-dih-loo-vee-in";"of or belonging to the time before the biblical Flood; ridiculously old-fashioned";"adj"
1913;"canard";"kuh-nard";"a false or unfounded report or story";"n"
1914;"biometrics";"bi-oh-meh-triks";"the measurement and analysis of unique physical or behavioral characteristics especially as a means of verifying personal identity
";"n"
1915;"orthopedics";"or-thuh-pee-diks";"a branch of medicine concerned with the correction or prevention of deformities, disorders, or injuries of the skeleton and associated structures (such as tendons and ligaments)";"n"
1916;"ostomy";"ah-stuh-mee";"an operation (such as a colostomy) to create an artificial passage for bodily elimination";"n"
1917;"augur";"aw-ger";"to foretell especially from omens; to give promise of";"v"
1918;"neurasthenia";"nyur-us-thee-nee-uh";"an ill-defined medical condition characterized by lassitude, fatigue, headache, and irritability, associated chiefly with emotional disturbance";"n"
1919;"lassitude";"la-sih-tood";"a condition of weariness or debility, fatigue; a condition characterized by lack of interest, energy, or spirit";"n"
1920;"stipend";"sty-pend";"a fixed regular sum paid as a salary or allowance";"n"
1921;"defray";"dih-fray";"provide money to pay (a cost or expense)";"v"
1922;"aubergine";"o-ber-zheen";"eggplant";"n"
1923;"vignette";"vin-yet";"a brief evocative description, account, or episode; a small illustration or portrait photograph which fades into its background without a definite border";"n"
1924;"biota";"bi-oh-tuh";"the animal and plant life of a particular region, habitat, or geological period; the flora and fauna of a region";"n"
1925;"fauna";"faw-nuh";"animal life";"n"
1926;"smut";"smut";"matter that soils or blackens; obscene language or matter";"n"
1927;"exalt";"ig-zalt";"to raise in rank, power, or character; to elevate by praise or in estimation; to raise high";"v"
1928;"putative";"pyoo-tih-tiv";"generally considered or reputed to be; assumed to exist or to have existed";"adj"
1929;"latent";"lay-tint";"existing but not yet developed or manifest; hidden or concealed";"adj"
1930;"superfluous";"soo-per-floo-is";"unnecessary, especially through being more than enough";"adj"
1931;"jettison";"jeh-tih-sun";"throw or drop (something) from an aircraft or ship; to get rid of as superfluous or encumbering; to drop (cargo) to lighten a ship's load in time of distress";"v"
1932;"extort";"ik-stort";"to obtain from a person by force, intimidation, or undue or illegal power; to gain especially by ingenuity or compelling argument";"v"
1933;"muss";"muss";"make (someone's hair or clothes) untidy or messy";"v"
1934;"sacrilege";"sah-kruh-lij";"violation or misuse of what is regarded as sacred";"n"
1935;"pannier";"pan-yer";"a large container such as a basket often carried on the back of an animal or the shoulders of a person; one of a pair of packs or baskets hung over the rear wheel of a vehicle (such as a bicycle)";"n"
1936;"posthaste";"post-hayste";"with great speed or immediacy";"adv"
1937;"erogenous";"ih-rah-jih-nus";"(of a part of the body) sensitive to sexual stimulation; of, relating to, or arousing sexual feelings";"adj"
1938;"prescient";"preh-shint";"having or showing knowledge of events before they take place";"adj"
1939;"filigree";"fih-luh-gree";"ornamental work of fine (typically gold or silver) wire formed into delicate tracery";"n"
1940;"pillion";"pil-yen";"a seat for a passenger behind a motorcyclist";"n"
1941;"avoirdupois";"a-ver-dih-poiz";"the series of units of weight based on the pound of 16 ounces; weight, heaviness";"n"
1942;"capacious";"kuh-pay-shus";"containing or capable of containing a great deal";"adj"
1943;"dorsal";"dor-sul";"of, on, or relating to the upper side or back of an animal, plant, or organ";"adj"
1944;"disseminate";"dih-seh-mih-nate";"to spread abroad as though sowing seed; to disperse throughout";"v"
1945;"myriad";"meer-ee-id";"countless or extremely great in number; innumerable";"adj"
1946;"androgynous";"an-drah-juh-niss";"having the characteristics or nature of both male and female; neither specifically feminine nor masculine";"adj"
1947;"androgen";"an-dro-jin";"a male sex hormone (such as testosterone)";"n"
1948;"paramilitary";"pair-uh-mih-lih-tair-ee";"organized similarly to a military force";"Part of Speech"
1949;"carceral";"kar-suh-rul";"of, relating to, or suggesting a jail or prison";"adj"
1950;"swatch";"swatch";"a sample piece (as of fabric) or a collection of samples; a characteristic specimen; a small collection";"n"
1951;"opus";"o-pus";"any artistic work, especially one on a large scale; a musical composition or set of compositions usually numbered in the order of its issue";"n"
1952;"virginal";"vir-jin-ul";"of, relating to, or characteristic of a virgin or virginity; pristine, unsullied; pure, chaste";"adj"
1953;"tamp";"tamp";"to drive in or down by a succession of light or medium blows; to put a check on; reduce, lessen; ram or pack (a substance) down or into something firmly";"v"
1954;"frisson";"free-saun";"a sudden strong feeling of excitement or fear; a thrill";"n"
1955;"SaaS";"sass";"(software as a service) a method of software delivery and licensing in which software is accessed online via a subscription, rather than bought and installed on individual computers";"n"
